W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] 
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] *****************************************
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] *****************************************
Loaded checkpoint '/home/shulab/wyc/M3A_vision/checkpoint_epoch_240.pth' bect_acc tensor([80.3460], device='cuda:0') (epoch 240)
Epoch: 241/300 | Batch: 2550/5004 | Loss: 3.2488 | Acc: 67.65% | LR: 0.0001046 | 
Epoch: 241/300 | Batch: 2600/5004 | Loss: 3.2958 | Acc: 66.55% | LR: 0.0001046 | 
Epoch: 241/300 | Batch: 2650/5004 | Loss: 3.2029 | Acc: 69.14% | LR: 0.0001045 | 
Epoch: 241/300 | Batch: 2700/5004 | Loss: 3.2253 | Acc: 69.59% | LR: 0.0001045 | 
Epoch: 241/300 | Batch: 2750/5004 | Loss: 3.2095 | Acc: 69.07% | LR: 0.0001045 | 
Epoch: 241/300 | Batch: 2800/5004 | Loss: 3.2093 | Acc: 68.52% | LR: 0.0001044 | 
Epoch: 241/300 | Batch: 2850/5004 | Loss: 3.1585 | Acc: 71.74% | LR: 0.0001044 | 
Epoch: 241/300 | Batch: 2900/5004 | Loss: 3.2206 | Acc: 68.77% | LR: 0.0001044 | 
Epoch: 241/300 | Batch: 2950/5004 | Loss: 3.2624 | Acc: 67.00% | LR: 0.0001043 | 
Epoch: 241/300 | Batch: 3000/5004 | Loss: 3.3278 | Acc: 66.90% | LR: 0.0001043 | 
Epoch: 241/300 | Batch: 3050/5004 | Loss: 3.2160 | Acc: 68.62% | LR: 0.0001043 | 
Epoch: 241/300 | Batch: 3100/5004 | Loss: 3.2477 | Acc: 66.88% | LR: 0.0001042 | 
Epoch: 241/300 | Batch: 3150/5004 | Loss: 3.1847 | Acc: 71.14% | LR: 0.0001042 | 
Epoch: 241/300 | Batch: 3200/5004 | Loss: 3.1939 | Acc: 69.48% | LR: 0.0001042 | 
Epoch: 241/300 | Batch: 3250/5004 | Loss: 3.3477 | Acc: 66.21% | LR: 0.0001041 | 
Epoch: 241/300 | Batch: 3300/5004 | Loss: 3.1912 | Acc: 69.55% | LR: 0.0001041 | 
Epoch: 241/300 | Batch: 3350/5004 | Loss: 3.2198 | Acc: 68.83% | LR: 0.0001041 | 
Epoch: 241/300 | Batch: 3400/5004 | Loss: 3.1382 | Acc: 70.61% | LR: 0.0001040 | 
Epoch: 241/300 | Batch: 3450/5004 | Loss: 3.2489 | Acc: 68.09% | LR: 0.0001040 | 
Epoch: 241/300 | Batch: 3500/5004 | Loss: 3.2420 | Acc: 67.09% | LR: 0.0001040 | 
Epoch: 241/300 | Batch: 3550/5004 | Loss: 3.1704 | Acc: 70.65% | LR: 0.0001039 | 
Epoch: 241/300 | Batch: 3600/5004 | Loss: 3.2509 | Acc: 68.34% | LR: 0.0001039 | 
Epoch: 241/300 | Batch: 3650/5004 | Loss: 3.3223 | Acc: 67.19% | LR: 0.0001039 | 
Epoch: 241/300 | Batch: 3700/5004 | Loss: 3.2869 | Acc: 64.90% | LR: 0.0001038 | 
Epoch: 241/300 | Batch: 3750/5004 | Loss: 3.1721 | Acc: 70.46% | LR: 0.0001038 | 
Epoch: 241/300 | Batch: 3800/5004 | Loss: 3.1548 | Acc: 68.79% | LR: 0.0001038 | 
Epoch: 241/300 | Batch: 3850/5004 | Loss: 3.2389 | Acc: 68.66% | LR: 0.0001037 | 
Epoch: 241/300 | Batch: 3900/5004 | Loss: 3.3160 | Acc: 65.72% | LR: 0.0001037 | 
Epoch: 241/300 | Batch: 3950/5004 | Loss: 3.2597 | Acc: 66.73% | LR: 0.0001037 | 
Epoch: 241/300 | Batch: 4000/5004 | Loss: 3.3289 | Acc: 66.09% | LR: 0.0001036 | 
Epoch: 241/300 | Batch: 4050/5004 | Loss: 3.2167 | Acc: 69.24% | LR: 0.0001036 | 
Epoch: 241/300 | Batch: 4100/5004 | Loss: 3.2683 | Acc: 66.95% | LR: 0.0001036 | 
Epoch: 241/300 | Batch: 4150/5004 | Loss: 3.2117 | Acc: 69.95% | LR: 0.0001035 | 
Epoch: 241/300 | Batch: 4200/5004 | Loss: 3.2600 | Acc: 67.85% | LR: 0.0001035 | 
Epoch: 241/300 | Batch: 4250/5004 | Loss: 3.1955 | Acc: 69.67% | LR: 0.0001035 | 
Epoch: 241/300 | Batch: 4300/5004 | Loss: 3.1739 | Acc: 70.01% | LR: 0.0001034 | 
Epoch: 241/300 | Batch: 4350/5004 | Loss: 3.1635 | Acc: 69.23% | LR: 0.0001034 | 
Epoch: 241/300 | Batch: 4400/5004 | Loss: 3.3175 | Acc: 66.39% | LR: 0.0001034 | 
Epoch: 241/300 | Batch: 4450/5004 | Loss: 3.2310 | Acc: 67.72% | LR: 0.0001033 | 
Epoch: 241/300 | Batch: 4500/5004 | Loss: 3.3448 | Acc: 65.00% | LR: 0.0001033 | 
Epoch: 241/300 | Batch: 4550/5004 | Loss: 3.1551 | Acc: 69.49% | LR: 0.0001033 | 
Epoch: 241/300 | Batch: 4600/5004 | Loss: 3.3117 | Acc: 66.94% | LR: 0.0001032 | 
